,Data Sample,Testing Size,ABOD,CBLOF,FB,HBOS,IForest,KNN,LOF,MCD,OCSVM,PCA
0,1000.0,0.2,0.5238,0.5238,0.0476,0.5,0.5238,0.5238,0.0,0.5238,0.5238,0.5238
1,1000.0,0.3,0.4865,0.4865,0.2703,0.5135,0.5135,0.4865,0.0811,0.4865,0.4865,0.4865
2,1000.0,0.4,0.5,0.46,0.1,0.26,0.54,0.52,0.06,0.52,0.52,0.52
3,5000.0,0.2,0.1395,0.3023,0.1163,0.3203,0.4961,0.3953,0.1163,0.4574,0.3798,0.4109
4,5000.0,0.3,0.1479,0.2663,0.0769,0.2663,0.4556,0.355,0.1006,0.4615,0.355,0.4083
5,5000.0,0.4,0.1366,0.2247,0.0573,0.3216,0.489,0.3568,0.0617,0.4581,0.3612,0.4229
6,10000.0,0.2,0.1236,0.1798,0.0824,0.2659,0.4944,0.3446,0.0487,0.4794,0.3371,0.4419
7,10000.0,0.3,0.1483,0.1867,0.1458,0.3606,0.5038,0.4399,0.1637,0.468,0.3683,0.4297
8,10000.0,0.4,0.1673,0.1751,0.1187,0.3444,0.4942,0.4163,0.1128,0.4572,0.3638,0.4416
9,15000.0,0.2,0.127,0.3892,0.0514,0.1946,0.4757,0.473,0.0595,0.4757,0.4865,0.4892
10,15000.0,0.3,0.1385,0.3327,0.0612,0.1835,0.4604,0.4191,0.0594,0.4586,0.4712,0.4712
11,15000.0,0.4,0.1678,0.2449,0.0528,0.184,0.4628,0.3518,0.0487,0.4601,0.4804,0.4777
12,16318.0,0.2,0.1094,0.2723,0.0458,0.201,0.4631,0.4377,0.0433,0.4606,0.4784,0.4809
13,16318.0,0.3,0.1424,0.1937,0.0447,0.1921,0.4801,0.3079,0.0414,0.4669,0.3907,0.4404
14,16318.0,0.4,0.3861,0.1731,0.0996,0.1965,0.5044,0.2814,0.0834,0.4932,0.4334,0.4932
