,Data Sample,Testing Size,ABOD,CBLOF,FB,HBOS,IForest,KNN,LOF,MCD,OCSVM,PCA
0,1000.0,0.2,2.2606,1.9453,0.1829,2.156,0.3398,0.057,0.015,1.1532,0.1049,0.0189
1,1000.0,0.3,0.2459,0.098,0.2449,0.022,0.3898,0.076,0.023,1.1464,0.0879,0.007
2,1000.0,0.4,0.2488,0.0969,0.2569,0.022,0.3748,0.0969,0.022,1.1573,0.071,0.0054
3,5000.0,0.2,1.2123,0.1519,1.0984,0.034,0.7756,0.3778,0.1079,1.8373,2.6865,0.0245
4,5000.0,0.3,1.2813,0.1529,1.1154,0.033,0.6976,0.4597,0.1159,1.7489,2.3077,0.0209
5,5000.0,0.4,1.2983,0.1299,0.9535,0.032,0.6596,0.4797,0.0899,1.8711,1.826,0.02
6,10000.0,0.2,2.8903,0.2528,2.9723,0.049,1.6311,1.3333,0.3138,2.6062,12.3509,0.0567
7,10000.0,0.3,3.9807,0.3228,3.2911,0.053,1.4012,1.8429,0.3368,2.6823,10.7179,0.0377
8,10000.0,0.4,3.578,0.4157,3.1702,0.042,1.3392,2.0208,0.7036,2.5285,8.2983,0.0525
9,15000.0,0.2,6.7971,0.3758,7.7655,0.066,2.5126,4.0047,0.9484,3.4583,31.6808,0.0611
10,15000.0,0.3,6.1345,0.3518,6.6742,0.07,2.1078,4.4346,0.6866,3.478,24.9367,0.0593
11,15000.0,0.4,5.9036,0.3438,5.1401,0.069,1.8819,4.7123,0.5667,3.0012,20.7701,0.0638
12,16318.0,0.2,5.7787,0.3338,9.0088,0.079,2.2017,4.8932,0.9464,3.5967,36.1444,0.0719
13,16318.0,0.3,5.9696,0.3108,7.0789,0.068,2.1897,6.0136,0.8715,4.3002,28.6006,0.06
14,16318.0,0.4,5.3569,0.3288,8.0054,0.075,3.434,10.2598,0.8586,3.5236,22.461,0.058
